Date,Open,High,Low,Close,Adj Close,Volume
10/21/2019,12661.92969,12787.34961,12646.28027,12747.95996,12747.95996,80978200
10/22/2019,12757.73047,12791.30957,12730.7002,12754.69043,12754.69043,79430700
10/23/2019,12702.91992,12819.21973,12699.84961,12798.19043,12798.19043,76218700
10/24/2019,12860.62988,12914.24023,12820.66992,12872.09961,12872.09961,84318900
10/25/2019,12886.41992,12895.84961,12834,12894.50977,12894.50977,59800700
10/28/2019,12897.40039,12986.49023,12892.83984,12941.70996,12941.70996,69024100
10/29/2019,12946.33984,12951.87988,12897.33984,12939.62012,12939.62012,76948300
10/30/2019,12929.41992,12944.25977,12830.33008,12910.23047,12910.23047,100397400
10/31/2019,12937.58984,12953.33984,12795.08984,12866.79004,12866.79004,100660900
11/1/2019,12912.08984,12992.07031,12896.71973,12961.04981,12961.04981,65905400
11/4/2019,13022.9502,13171.16992,13019.17969,13136.28027,13136.28027,84782400
11/5/2019,13134.33008,13166.08008,13112.65039,13148.5,13148.5,83190400
11/6/2019,13150.94043,13187.66016,13110.91016,13179.88965,13179.88965,80045600
11/7/2019,13258.25977,13300.75977,13227.37012,13289.45996,13289.45996,117100600
11/8/2019,13248.62012,13278.17969,13195.83008,13228.55957,13228.55957,95599200
11/11/2019,13170.17969,13225.62012,13144.08984,13198.37012,13198.37012,72597200
11/12/2019,13243.53027,13308.25977,13214.66016,13283.50977,13283.50977,82741400
11/13/2019,13244.04981,13273.82031,13139.25,13230.07031,13230.07031,77193800
11/14/2019,13198.33008,13219.29981,13159.69043,13180.23047,13180.23047,81582700
11/15/2019,13261.71973,13261.71973,13172.88965,13241.75,13241.75,81039800
11/18/2019,13255.78027,13282.41016,13137.87988,13207.00977,13207.00977,69775200
11/19/2019,13235.28027,13374.26953,13187.91016,13221.12012,13221.12012,68664200
11/20/2019,13127.4502,13182.21973,13071.33008,13158.13965,13158.13965,68735300
11/21/2019,13083,13171.84961,13043.90039,13137.7002,13137.7002,74515800
11/22/2019,13145.76953,13244.57031,13120.62988,13163.87988,13163.87988,74716200
11/25/2019,13247.50977,13268.96973,13210.25,13246.4502,13246.4502,54920200
11/26/2019,13256.40039,13261.98047,13193.75,13236.41992,13236.41992,89580100
11/27/2019,13291.08984,13314.91992,13219.42969,13287.07031,13287.07031,67304300
11/28/2019,13247.61035,13259.29004,13215.70996,13245.58008,13245.58008,36771000
11/29/2019,13179.25,13290.33008,13165.07031,13236.37988,13236.37988,71753700
12/2/2019,13264.92969,13338.25,12954.5,12964.67969,12964.67969,105692200
12/3/2019,13039.61035,13086.03027,12927.07031,12989.29004,12989.29004,87003100
12/4/2019,12998.66016,13157.36035,12995.32031,13140.57031,13140.57031,68441900
12/5/2019,13144.37988,13188.63965,13054.79981,13054.79981,13054.79981,54216400
12/6/2019,13087.50977,13171.20996,13055.98047,13166.58008,13166.58008,60141700
12/9/2019,13147.57031,13170.76953,13100.24023,13105.61035,13105.61035,50345100
12/10/2019,13065.83008,13091.70996,12886.54981,13070.71973,13070.71973,80064000
12/11/2019,13075.42969,13169.76953,13042.7002,13146.74023,13146.74023,69220500
12/12/2019,13167.55957,13287.80957,13105.07031,13221.63965,13221.63965,83998800
12/13/2019,13383.25977,13423.41016,13255.54981,13282.71973,13282.71973,106137100
12/16/2019,13349.86035,13425.84961,13338.37988,13407.66016,13407.66016,71200800
12/17/2019,13391.26953,13394.46973,13269.42969,13287.83008,13287.83008,79260500
12/18/2019,13266.34961,13286,13215.87988,13222.16016,13222.16016,71001000
12/19/2019,13226.7002,13248.98047,13140.21973,13211.95996,13211.95996,84018200
12/20/2019,13210.25977,13324.11035,13201.79981,13318.90039,13318.90039,170723200
12/23/2019,13304.76953,13331.86035,13285.54981,13300.98047,13300.98047,56215400
12/27/2019,13338.32031,13381.44043,13311.51953,13337.11035,13337.11035,43758600
12/30/2019,13301.42969,13316.62012,13244.16992,13249.00977,13249.00977,31427400
1/2/2020,13233.70996,13425.03027,13225.16016,13385.92969,13385.92969,75341400
1/3/2020,13266.38965,13282.74023,13120.71973,13219.13965,13219.13965,80793400
1/6/2020,13085.49023,13143.11035,12948.16992,13126.99023,13126.99023,71778600
1/7/2020,13199.58984,13283.87988,13166.40039,13226.83008,13226.83008,78282300
1/8/2020,13140.49023,13334.04004,13106.26953,13320.17969,13320.17969,88178800
1/9/2020,13474.75977,13523.33984,13456.78027,13495.05957,13495.05957,86965600
