Date,Open,High,Low,Close,Adj Close,Volume
10/8/2012,145.600006,146.119995,145.309998,145.639999,124.210243,78415400
10/9/2012,145.529999,145.649994,144.149994,144.199997,122.982086,148872900
10/10/2012,144.179993,144.320007,143.089996,143.279999,122.197456,124247500
10/11/2012,144.279999,144.490005,143.330002,143.360001,122.265709,123601500
10/12/2012,143.460007,143.949997,142.580002,142.889999,121.864883,124181900
10/15/2012,143.229996,144.229996,142.770004,144.080002,122.879723,107689100
10/16/2012,144.759995,145.639999,144.660004,145.539993,124.124886,108815500
10/17/2012,145.639999,146.320007,145.419998,146.199997,124.687843,128834100
10/18/2012,145.820007,146.520004,145.330002,145.820007,124.363747,148108500
10/19/2012,145.550003,145.559998,143.050003,143.389999,122.291275,185645200
10/22/2012,143.149994,143.669998,142.279999,143.410004,122.30835,125578600
10/23/2012,141.860001,142.059998,140.830002,141.419998,120.611153,192056300
10/24/2012,141.929993,142.100006,140.800003,141.020004,120.269974,120179400
10/25/2012,142.020004,142.279999,140.570007,141.429993,120.619682,134457400
10/26/2012,141.300003,141.839996,140.389999,141.350006,120.55143,146023500
10/31/2012,141.850006,142.029999,140.679993,141.350006,120.55143,103438500
11/1/2012,141.649994,143.009995,141.520004,142.830002,121.813667,100995600
11/2/2012,143.679993,143.720001,141.410004,141.559998,120.73056,137702200
11/5/2012,141.350006,142.169998,140.929993,141.850006,120.977867,98378500
11/6/2012,142.279999,143.520004,142.130005,142.960007,121.924561,107068100
11/7/2012,141.660004,141.679993,139.059998,139.720001,119.161293,264304500
11/8/2012,139.699997,140.410004,137.929993,138.039993,117.7285,181517300
11/9/2012,137.619995,139.440002,137.550003,138.160004,117.830833,201055300
11/12/2012,138.589996,138.809998,137.960007,138.270004,117.92466,97677500
11/13/2012,137.539993,139.25,137.360001,137.789993,117.515266,123018300
11/14/2012,138.210007,138.429993,135.619995,135.929993,115.92894,191505000
11/15/2012,135.979996,136.490005,135.179993,135.699997,115.732803,178128400
11/16/2012,135.899994,136.639999,134.699997,136.369995,116.304214,239483900
11/19/2012,137.899994,139.149994,136.410004,139.130005,118.658127,151495800
11/20/2012,138.910004,139.419998,138.080002,139.190002,118.709251,119807400
11/21/2012,139.309998,139.570007,139.029999,139.449997,118.930992,81710800
11/23/2012,140.130005,141.399994,140.039993,141.350006,120.55143,65409200
11/26/2012,140.649994,141.360001,140.190002,141.050003,120.295586,100124400
11/27/2012,140.910004,141.389999,140.240005,140.330002,119.681549,128646200
11/28/2012,139.759995,141.539993,139,141.460007,120.645248,177086500
11/29/2012,141.990005,142.509995,141.369995,142.119995,121.208115,151085900
11/30/2012,142.139999,142.419998,141.660004,142.149994,121.233719,136568300
12/3/2012,142.800003,142.919998,141.339996,141.449997,120.636719,124656300
12/4/2012,141.440002,141.869995,140.869995,141.25,120.466171,127512200
12/5/2012,141.369995,142.160004,140.369995,141.5,120.679375,147300500
12/6/2012,141.369995,142.039993,141.160004,141.979996,121.08873,103220600
12/7/2012,142.529999,142.690002,141.669998,142.410004,121.45549,108726400
12/10/2012,142.210007,142.809998,142.149994,142.470001,121.506676,98840700
12/11/2012,143.059998,144.110001,142.990005,143.440002,122.333916,152570400
12/12/2012,144,144.550003,143.309998,143.509995,122.3936,145880100
12/13/2012,143.419998,143.830002,142.270004,142.630005,121.643082,135715000
12/14/2012,142.320007,142.580002,141.880005,142.100006,121.191109,137701700
12/17/2012,142.470001,143.850006,142.429993,143.770004,122.615379,143238200
12/18/2012,144,145.5,143.789993,145.369995,123.979935,177762800
12/19/2012,145.529999,145.580002,144.240005,144.289993,123.058807,150895400
12/20/2012,144.380005,145.139999,143.979996,145.119995,123.766701,168487000
12/21/2012,142.169998,144.089996,141.940002,142.789993,122.643265,245883800
12/24/2012,142.479996,142.559998,142.190002,142.350006,122.265373,53874600
12/26/2012,142.639999,142.710007,141.350006,141.75,121.750061,106947700
12/27/2012,141.789993,142.080002,139.919998,141.559998,121.586861,167920600
12/28/2012,140.639999,141.419998,139.869995,140.029999,120.272682,148806700
12/31/2012,139.660004,142.559998,139.539993,142.410004,122.316879,243935200
1/2/2013,145.110001,146.149994,144.729996,146.059998,125.451904,192059000
1/3/2013,145.990005,146.369995,145.339996,145.729996,125.16848,144761800
1/4/2013,145.970001,146.610001,145.669998,146.369995,125.718124,116817700
1/7/2013,145.850006,146.110001,145.429993,145.970001,125.374611,110002500
1/8/2013,145.710007,145.910004,144.979996,145.550003,125.01387,121265100
1/9/2013,145.869995,146.320007,145.639999,145.919998,125.331642,90745600
1/10/2013,146.729996,147.089996,145.970001,147.080002,126.327988,130735400
1/11/2013,147.039993,147.149994,146.610001,147.070007,126.31942,113917300
1/14/2013,146.889999,147.070007,146.429993,146.970001,126.233482,89567200
1/15/2013,146.289993,147.210007,146.199997,147.070007,126.31942,93172600
1/16/2013,146.770004,147.279999,146.610001,147.050003,126.302231,104849500
1/17/2013,147.699997,148.419998,147.149994,148,127.118149,133833500
1/18/2013,147.970001,148.490005,147.429993,148.330002,127.401649,169906000
1/22/2013,148.330002,149.130005,147.979996,149.130005,128.088715,111797300
1/23/2013,149.130005,149.5,148.860001,149.369995,128.294861,104596100
1/24/2013,149.149994,150.139999,149.009995,149.410004,128.329239,146426400
1/25/2013,149.880005,150.25,149.369995,150.25,129.050751,147211600
1/28/2013,150.289993,150.330002,149.509995,150.070007,128.896072,113357700
1/29/2013,149.770004,150.850006,149.669998,150.660004,129.402832,105694400
1/30/2013,150.639999,150.940002,149.929993,150.070007,128.896072,137447700
1/31/2013,149.889999,150.380005,149.600006,149.699997,128.578323,108975800
2/1/2013,150.649994,151.419998,150.389999,151.240005,129.901047,131173000
2/4/2013,150.320007,151.270004,149.429993,149.539993,128.440857,159073600
2/5/2013,150.350006,151.479996,150.289993,151.050003,129.737869,113912400
2/6/2013,150.520004,151.259995,150.410004,151.160004,129.832321,138762800
2/7/2013,151.210007,151.350006,149.860001,150.960007,129.660568,162490000
2/8/2013,151.220001,151.889999,151.220001,151.800003,130.382019,103133700
2/11/2013,151.740005,151.899994,151.389999,151.770004,130.356247,73775000
2/12/2013,151.779999,152.300003,151.610001,152.020004,130.570999,65392700
2/13/2013,152.330002,152.610001,151.720001,152.149994,130.682632,82322600
2/14/2013,151.690002,152.470001,151.520004,152.289993,130.802887,80834300
2/15/2013,152.429993,152.589996,151.550003,152.110001,130.648254,215226500
2/19/2013,152.369995,153.279999,152.160004,153.25,131.627441,95105400
2/20/2013,153.139999,153.190002,151.259995,151.339996,129.986954,160574800
2/21/2013,150.960007,151.419998,149.940002,150.419998,129.196732,183257000
2/22/2013,151.149994,151.889999,150.490005,151.889999,130.459335,106356600
2/25/2013,152.630005,152.860001,149,149,127.977089,245824800
2/26/2013,149.720001,150.199997,148.729996,150.020004,128.853149,186596200
2/27/2013,149.889999,152.330002,149.759995,151.910004,130.476501,150781900
2/28/2013,151.899994,152.869995,151.410004,151.610001,130.218796,126866000
3/1/2013,151.089996,152.339996,150.410004,152.110001,130.648254,170634800
3/4/2013,151.759995,152.919998,151.520004,152.919998,131.343994,99010200
3/5/2013,153.660004,154.699997,153.639999,154.289993,132.520721,121431900
3/6/2013,154.839996,154.919998,154.160004,154.5,132.701111,94469900
3/7/2013,154.699997,154.979996,154.520004,154.779999,132.941605,86101400
3/8/2013,155.460007,155.649994,154.660004,155.440002,133.508453,123477800
3/11/2013,155.320007,156.039993,155.130005,156.029999,134.015182,83746800
3/12/2013,155.919998,156.100006,155.210007,155.679993,133.714554,105755800
3/13/2013,155.759995,156.119995,155.229996,155.899994,133.903549,92550900
3/14/2013,156.309998,156.800003,155.910004,156.729996,134.61644,126329900
3/15/2013,155.850006,156.039993,155.309998,155.830002,134.43869,138601100
3/18/2013,154.339996,155.639999,154.199997,154.970001,133.696747,126704300
3/19/2013,155.300003,155.509995,153.589996,154.610001,133.386139,167567300
3/20/2013,155.520004,155.949997,155.259995,155.690002,134.317947,113759300
3/21/2013,154.759995,155.639999,154.100006,154.360001,133.170532,128605000
3/22/2013,154.850006,155.600006,154.729996,155.600006,134.240265,111163600
3/25/2013,156.009995,156.270004,154.350006,154.949997,133.679459,151322300
3/26/2013,155.589996,156.229996,155.419998,156.190002,134.749298,86856600
3/27/2013,155.259995,156.240005,155,156.190002,134.749298,99950600
3/28/2013,156.089996,156.850006,155.75,156.669998,135.163406,102932800
